iter	Passed	Remaining
0	150	150059
1	150	75308
2	151	50380
3	152	37947
4	153	30471
5	153	25475
6	154	21971
7	156	19380
8	156	17273
9	157	15582
10	158	14205
11	158	13055
12	159	12091
13	159	11257
14	160	10537
15	161	9910
16	161	9353
17	162	8856
18	162	8411
19	163	8011
20	164	7649
21	164	7320
22	165	7018
23	165	6743
24	166	6488
25	166	6254
26	167	6038
27	170	5919
28	171	5737
29	172	5566
30	173	5407
31	173	5256
32	174	5111
33	175	4972
34	175	4841
35	176	4718
36	176	4602
37	177	4491
38	177	4385
39	178	4285
40	179	4190
41	179	4099
42	180	4013
43	180	3930
44	181	3852
45	184	3816
46	185	3753
47	185	3684
48	186	3619
49	187	3558
50	187	3495
51	188	3435
52	189	3377
53	189	3321
54	190	3267
55	190	3216
56	191	3166
57	191	3117
58	192	3070
59	193	3025
60	193	2981
61	194	2940
62	194	2898
63	195	2858
64	196	2820
65	199	2821
66	200	2785
67	200	2750
68	201	2715
69	201	2681
70	202	2652
71	203	2621
72	203	2590
73	204	2559
74	205	2529
75	205	2501
76	206	2473
77	206	2445
78	207	2418
79	208	2392
80	208	2366
81	209	2341
82	209	2314
83	210	2290
84	210	2267
85	211	2244
86	213	2242
87	214	2225
88	215	2204
89	215	2183
90	216	2163
91	217	2143
92	217	2124
93	218	2104
94	218	2085
95	219	2067
96	220	2048
97	220	2031
98	221	2013
99	221	1996
100	222	1979
101	222	1963
102	223	1947
103	224	1931
104	224	1915
105	225	1900
106	226	1887
107	227	1875
108	227	1861
109	228	1846
110	228	1833
111	229	1819
112	230	1805
113	230	1792
114	231	1778
115	231	1766
116	232	1752
117	232	1739
118	233	1727
119	233	1715
120	234	1703
121	235	1691
122	235	1680
123	236	1669
124	236	1657
125	239	1664
126	240	1653
127	241	1642
128	241	1632
129	242	1621
130	242	1611
131	243	1601
132	244	1591
133	244	1581
134	245	1571
135	245	1561
136	246	1552
137	247	1542
138	247	1533
139	248	1524
140	248	1515
141	249	1505
142	249	1496
143	250	1487
144	250	1478
145	251	1470
146	252	1462
147	255	1469
148	256	1462
149	256	1455
150	257	1449
151	258	1443
152	259	1435
153	259	1427
154	260	1419
155	261	1412
156	261	1404
157	262	1397
158	262	1389
159	263	1382
160	263	1374
161	264	1367
162	264	1359
163	265	1352
164	265	1345
165	266	1339
166	267	1332
167	269	1336
168	270	1331
169	271	1325
170	272	1320
171	273	1315
172	274	1314
173	275	1309
174	276	1305
175	277	1299
176	278	1294
177	279	1288
178	279	1283
179	280	1277
180	281	1271
181	281	1265
182	284	1271
183	285	1265
184	285	1259
185	286	1253
186	287	1248
187	287	1242
188	288	1237
189	289	1232
190	289	1226
191	290	1221
192	290	1215
193	291	1210
194	291	1205
195	292	1199
196	293	1194
197	293	1189
198	294	1184
199	294	1179
200	295	1173
201	295	1168
202	296	1163
203	298	1163
204	299	1162
205	300	1157
206	300	1152
207	301	1148
208	302	1143
209	302	1138
210	303	1133
211	303	1128
212	304	1124
213	304	1119
214	305	1114
215	305	1110
216	306	1105
217	306	1101
218	307	1096
